CRIME_RATE,AGE,INDUS,NOX,DISTANCE,TAX,PTRATIO,AVG_ROOM,LSTAT,AVG_PRICE
1.28,94.7,18.1,0.693,24,666,20.2,5.887,16.35,12.7
5.24,98.8,18.1,0.693,24,666,20.2,6.471,17.12,13.1
4.78,96,18.1,0.693,24,666,20.2,6.405,19.37,12.5
5.8,98.9,18.1,0.693,24,666,20.2,5.747,19.92,8.5
1.22,100,18.1,0.693,24,666,20.2,5.453,30.59,5
5.93,77.8,18.1,0.693,24,666,20.2,5.852,29.97,6.3
4.14,100,18.1,0.693,24,666,20.2,5.987,26.77,5.6
1.3,100,18.1,0.693,24,666,20.2,6.343,20.32,7.2
8.65,100,18.1,0.693,24,666,20.2,6.404,20.31,12.1
4,96,18.1,0.693,24,666,20.2,5.349,19.77,8.3
0.74,85.4,18.1,0.693,24,666,20.2,5.531,27.38,8.5
1.16,100,18.1,0.693,24,666,20.2,5.683,22.98,5
4.89,100,18.1,0.659,24,666,20.2,4.138,23.34,11.9
1.65,100,18.1,0.659,24,666,20.2,5.608,12.13,27.9
5.75,97.9,18.1,0.597,24,666,20.2,5.617,26.4,17.2
8.13,100,18.1,0.597,24,666,20.2,6.852,19.78,27.5
5,100,18.1,0.597,24,666,20.2,5.757,10.11,15
5.84,100,18.1,0.597,24,666,20.2,6.657,21.22,17.2
4.47,100,18.1,0.597,24,666,20.2,4.628,34.37,17.9
1.83,100,18.1,0.597,24,666,20.2,5.155,20.08,16.3
9.83,100,18.1,0.693,24,666,20.2,4.519,36.98,7
8.66,100,18.1,0.679,24,666,20.2,6.434,29.05,7.2
9.66,90.8,18.1,0.679,24,666,20.2,6.782,25.79,7.5
9.82,89.1,18.1,0.679,24,666,20.2,5.304,26.64,10.4
6.11,100,18.1,0.679,24,666,20.2,5.957,20.62,8.8
5.26,76.5,18.1,0.718,24,666,20.2,6.824,22.74,8.4
3.8,100,18.1,0.718,24,666,20.2,6.411,15.02,16.7
0.1,95.3,18.1,0.718,24,666,20.2,6.006,15.7,14.2
7.09,87.6,18.1,0.614,24,666,20.2,5.648,14.1,20.8
2.08,85.1,18.1,0.614,24,666,20.2,6.103,23.29,13.4
6.32,70.6,18.1,0.584,24,666,20.2,5.565,17.16,11.7
1.71,95.4,18.1,0.679,24,666,20.2,5.896,24.39,8.3
4.53,59.7,18.1,0.584,24,666,20.2,5.837,15.69,10.2
2.64,78.7,18.1,0.679,24,666,20.2,6.202,14.52,10.9
1.78,78.1,18.1,0.679,24,666,20.2,6.193,21.52,11
6.23,95.6,18.1,0.679,24,666,20.2,6.38,24.08,9.5
5.24,86.1,18.1,0.584,24,666,20.2,6.348,17.64,14.5
6.65,94.3,18.1,0.584,24,666,20.2,6.833,19.69,14.1
4.09,74.8,18.1,0.584,24,666,20.2,6.425,12.03,16.1
2.19,87.9,18.1,0.713,24,666,20.2,6.436,16.22,14.3
3.14,95,18.1,0.713,24,666,20.2,6.208,15.17,11.7
0.75,94.6,18.1,0.74,24,666,20.2,6.629,23.27,13.4
9.76,93.3,18.1,0.74,24,666,20.2,6.461,18.05,9.6
5.53,100,18.1,0.74,24,666,20.2,6.152,26.45,8.7
7.63,87.9,18.1,0.74,24,666,20.2,5.935,34.02,8.4
4.02,93.9,18.1,0.74,24,666,20.2,5.627,22.88,12.8
6.58,92.4,18.1,0.74,24,666,20.2,5.818,22.11,10.5
5.66,97.2,18.1,0.74,24,666,20.2,6.406,19.52,17.1
2.64,100,18.1,0.74,24,666,20.2,6.219,16.59,18.4
3.26,100,18.1,0.74,24,666,20.2,6.485,18.85,15.4
8.93,96.6,18.1,0.74,24,666,20.2,5.854,23.79,10.8
0.07,94.8,18.1,0.74,24,666,20.2,6.459,23.98,11.8
9.54,96.4,18.1,0.74,24,666,20.2,6.341,17.79,14.9
6.36,96.6,18.1,0.74,24,666,20.2,6.251,16.44,12.6
7.8,98.7,18.1,0.713,24,666,20.2,6.185,18.13,14.1
3.67,98.3,18.1,0.713,24,666,20.2,6.417,19.31,13
0.75,92.6,18.1,0.713,24,666,20.2,6.749,17.44,13.4
7.52,98.2,18.1,0.713,24,666,20.2,6.655,17.73,15.2
9.14,91.8,18.1,0.713,24,666,20.2,6.297,17.27,16.1
4.82,99.3,18.1,0.713,24,666,20.2,7.393,16.74,17.8
3.43,94.1,18.1,0.713,24,666,20.2,6.728,18.71,14.9
8.41,86.5,18.1,0.713,24,666,20.2,6.525,18.13,14.1
8.74,87.9,18.1,0.713,24,666,20.2,5.976,19.01,12.7
0.71,80.3,18.1,0.713,24,666,20.2,5.936,16.94,13.5
2.99,83.7,18.1,0.713,24,666,20.2,6.301,16.23,14.9
7.81,84.4,18.1,0.713,24,666,20.2,6.081,14.7,20
1.36,90,18.1,0.713,24,666,20.2,6.701,16.42,16.4
6.46,88.4,18.1,0.713,24,666,20.2,6.376,14.65,17.7
3.43,83,18.1,0.713,24,666,20.2,6.317,13.99,19.5
3.5,89.9,18.1,0.713,24,666,20.2,6.513,10.29,20.2
3.22,65.4,18.1,0.655,24,666,20.2,6.209,13.22,21.4
6.65,48.2,18.1,0.655,24,666,20.2,5.759,14.13,19.9
9.25,84.7,18.1,0.655,24,666,20.2,5.952,17.15,19
8.96,94.5,18.1,0.584,24,666,20.2,6.003,21.32,19.1
7.56,71,18.1,0.58,24,666,20.2,5.926,18.13,19.1
4.98,56.7,18.1,0.58,24,666,20.2,5.713,14.76,20.1
8.53,84,18.1,0.58,24,666,20.2,6.167,16.29,19.9
5.61,90.7,18.1,0.532,24,666,20.2,6.229,12.87,19.6
1.05,75,18.1,0.58,24,666,20.2,6.437,14.36,23.2
2,67.6,18.1,0.614,24,666,20.2,6.98,11.66,29.8
6.14,95.4,18.1,0.584,24,666,20.2,5.427,18.14,13.8
1.05,97.4,18.1,0.584,24,666,20.2,6.162,24.1,13.3
2.87,93.6,18.1,0.614,24,666,20.2,6.484,18.68,16.7
1.42,97.3,18.1,0.614,24,666,20.2,5.304,24.91,12
3.43,96.7,18.1,0.614,24,666,20.2,6.185,18.03,14.6
6.57,88,18.1,0.614,24,666,20.2,6.229,13.11,21.4
1.18,64.7,18.1,0.532,24,666,20.2,6.242,10.74,23
4.82,74.9,18.1,0.532,24,666,20.2,6.75,7.74,23.7
2.66,77,18.1,0.532,24,666,20.2,7.061,7.01,25
3.65,40.3,18.1,0.532,24,666,20.2,5.762,10.42,21.8
9.11,41.9,18.1,0.583,24,666,20.2,5.871,13.34,20.6
7.26,51.9,18.1,0.583,24,666,20.2,6.312,10.58,21.2
5.14,79.8,18.1,0.583,24,666,20.2,6.114,14.98,19.1
4.14,53.2,18.1,0.583,24,666,20.2,5.905,11.45,20.6
0.2,92.7,27.74,0.609,4,711,20.1,5.454,18.06,15.2
9.02,98.3,27.74,0.609,4,711,20.1,5.414,23.97,7
5.98,98,27.74,0.609,4,711,20.1,5.093,29.68,8.1
1.43,98.8,27.74,0.609,4,711,20.1,5.983,18.07,13.6
4.49,83.5,27.74,0.609,4,711,20.1,5.983,13.35,20.1
8.62,54,9.69,0.585,6,391,19.2,5.707,12.01,21.8
3.43,42.6,9.69,0.585,6,391,19.2,5.926,13.59,24.5
7.02,28.8,9.69,0.585,6,391,19.2,5.67,17.6,23.1
6.43,72.9,9.69,0.585,6,391,19.2,5.39,21.14,19.7
9.04,70.6,9.69,0.585,6,391,19.2,5.794,14.1,18.3
3.49,65.3,9.69,0.585,6,391,19.2,6.019,12.92,21.2
2.37,73.5,9.69,0.585,6,391,19.2,5.569,15.1,17.5
3,79.7,9.69,0.585,6,391,19.2,6.027,14.33,16.8
4.48,69.1,11.93,0.573,1,273,21,6.593,9.67,22.4
0.46,76.7,11.93,0.573,1,273,21,6.12,9.08,20.6
9.42,91,11.93,0.573,1,273,21,6.976,5.64,23.9
6.94,89.3,11.93,0.573,1,273,21,6.794,6.48,22
9.54,80.8,11.93,0.573,1,273,21,6.03,7.88,11.9
